"method","efficiency","raw_imbalance","imbalance","targeted_group_demo","budget_actual","maximum_viable_ceiling_z0","maximum_viable_ceiling_z1","delta_policy","scenario","replication","n_train","n_test","num_trees","beat_penalty","target_share"
"CF-FD",74.1365686687763,0.45,100,0.75,NA,0.216,0.81,33.8,"scenario_1_high_corr_tau_z",1,2000,1000,250,10,0.5
"CF-NP",80.7527986919502,0.338,75.1111111111111,0.694,NA,0.216,0.81,0,"scenario_1_high_corr_tau_z",1,2000,1000,250,10,0.5
"Debiased",51.8587376338294,0.034,7.55555555555556,0.542,NA,0.216,0.81,6.2,"scenario_1_high_corr_tau_z",1,2000,1000,250,10,0.5
"BEAT",50.623914465281,0.054,12,0.552,NA,0.216,0.81,0,"scenario_1_high_corr_tau_z",1,2000,1000,250,10,0.5
"BTGQ",51.2522002685677,0.19,42.2222222222222,0.62,NA,0.216,0.81,0,"scenario_1_high_corr_tau_z",1,2000,1000,250,10,0.5
"BTGQ_VALID",40.1739189173255,0.174,38.6666666666667,0.612,NA,0.216,0.81,0,"scenario_1_high_corr_tau_z",1,2000,1000,250,10,0.5
"CF-FD",66.4200488943245,0.498,100,0.762,NA,0.208,0.792,36.6,"scenario_1_high_corr_tau_z",2,2000,1000,250,10,0.5
"CF-NP",71.0381619669061,0.35,70.281124497992,0.688,NA,0.208,0.792,0,"scenario_1_high_corr_tau_z",2,2000,1000,250,10,0.5
"Debiased",56.7812444201079,0.0580000000000001,11.6465863453815,0.542,NA,0.208,0.792,6.2,"scenario_1_high_corr_tau_z",2,2000,1000,250,10,0.5
"BEAT",65.4968009856437,0.022,4.41767068273093,0.524,NA,0.208,0.792,0,"scenario_1_high_corr_tau_z",2,2000,1000,250,10,0.5
"BTGQ",67.0370260468534,0.318,63.855421686747,0.672,NA,0.208,0.792,0,"scenario_1_high_corr_tau_z",2,2000,1000,250,10,0.5
"BTGQ_VALID",63.7253181363684,0.358,71.8875502008032,0.692,NA,0.208,0.792,0,"scenario_1_high_corr_tau_z",2,2000,1000,250,10,0.5
"CF-FD",63.3882850995613,0.284,100,0.648,NA,0.228,0.766,19.2,"scenario_1_high_corr_tau_z",3,2000,1000,250,10,0.5
"CF-NP",58.8304521144219,0.2,70.4225352112676,0.606,NA,0.228,0.766,0,"scenario_1_high_corr_tau_z",3,2000,1000,250,10,0.5
"Debiased",49.0998053971492,0.004,1.40845070422535,0.504,NA,0.228,0.766,5.6,"scenario_1_high_corr_tau_z",3,2000,1000,250,10,0.5
"BEAT",45.3002286640733,0.016,5.63380281690141,0.514,NA,0.228,0.766,0,"scenario_1_high_corr_tau_z",3,2000,1000,250,10,0.5
"BTGQ",68.9745964867541,0.188,66.1971830985916,0.6,NA,0.228,0.766,0,"scenario_1_high_corr_tau_z",3,2000,1000,250,10,0.5
"BTGQ_VALID",65.7508699089631,0.2,70.4225352112676,0.606,NA,0.228,0.766,0,"scenario_1_high_corr_tau_z",3,2000,1000,250,10,0.5
"CF-FD",94.8979084465959,0.63,100,0.828,NA,0.184,0.754,59.2,"scenario_2_low_corr_tau_z",1,2000,1000,250,10,0.5
"CF-NP",77.1947537713093,0.106,16.8253968253968,0.566,NA,0.184,0.754,0,"scenario_2_low_corr_tau_z",1,2000,1000,250,10,0.5
"Debiased",65.0658235125164,0.03,4.76190476190477,0.528,NA,0.184,0.754,7.2,"scenario_2_low_corr_tau_z",1,2000,1000,250,10,0.5
"BEAT",65.703519620669,0.01,1.58730158730159,0.518,NA,0.184,0.754,0,"scenario_2_low_corr_tau_z",1,2000,1000,250,10,0.5
"BTGQ",66.5019069951087,0.0820000000000001,13.015873015873,0.554,NA,0.184,0.754,0,"scenario_2_low_corr_tau_z",1,2000,1000,250,10,0.5
"BTGQ_VALID",56.9849275366724,0.038,6.03174603174604,0.532,NA,0.184,0.754,0,"scenario_2_low_corr_tau_z",1,2000,1000,250,10,0.5
"CF-FD",73.2010176310443,0.446,100,0.744,NA,0.188,0.748,42.8,"scenario_2_low_corr_tau_z",2,2000,1000,250,10,0.5
"CF-NP",50.5993902823717,0.018,4.03587443946189,0.53,NA,0.188,0.748,0,"scenario_2_low_corr_tau_z",2,2000,1000,250,10,0.5
"Debiased",51.1421690693792,0.00600000000000001,1.34529147982063,0.524,NA,0.188,0.748,7,"scenario_2_low_corr_tau_z",2,2000,1000,250,10,0.5
"BEAT",53.3239084967037,0.026,5.82959641255606,0.508,NA,0.188,0.748,0,"scenario_2_low_corr_tau_z",2,2000,1000,250,10,0.5
"BTGQ",60.229375384677,0.002,0.448430493273543,0.522,NA,0.188,0.748,0,"scenario_2_low_corr_tau_z",2,2000,1000,250,10,0.5
