"scenario","method","efficiency","raw_imbalance","imbalance","targeted_group_demo","maximum_viable_ceiling_z0","maximum_viable_ceiling_z1","delta_policy"
"scenario_1_high_corr_tau_z","BEAT",51.3192450868492,0.0306666666666667,6.65812866133682,0.53,0.217333333333333,0.789333333333333,0
"scenario_2_low_corr_tau_z","BEAT",63.5897134895225,0.0306666666666667,6.40373613945652,0.522666666666667,0.194,0.751333333333333,0
"scenario_3_low_corr_tau_z_x2_same_sign","BEAT",34.5095888818539,0.034,7.85233820074443,0.524666666666667,0.200666666666667,0.778,0
"scenario_4_low_corr_tau_z_x2_opposite_sign","BEAT",46.6804136190003,0.034,20.6862745098039,0.492,0.468666666666667,0.498,0
"scenario_1_high_corr_tau_z","BTGQ",50.6276128833394,0.241333333333333,58.6186290026791,0.635333333333333,0.217333333333333,0.789333333333333,0
"scenario_2_low_corr_tau_z","BTGQ",51.1452241954986,0.032,6.19890292524564,0.528,0.194,0.751333333333333,0
"scenario_3_low_corr_tau_z_x2_same_sign","BTGQ",32.4883723869357,0.111333333333333,25.2831217323434,0.563333333333333,0.200666666666667,0.778,0
"scenario_4_low_corr_tau_z_x2_opposite_sign","BTGQ",52.7004067196685,0.219333333333333,133.480392156863,0.394,0.468666666666667,0.498,0
"scenario_1_high_corr_tau_z","BTGQ_DUMB",3.46063216204631,0.0173333333333333,3.74667595886247,0.512,0.217333333333333,0.789333333333333,0
"scenario_2_low_corr_tau_z","BTGQ_DUMB",28.4856365558724,0.0226666666666667,4.49410272087169,0.507333333333333,0.194,0.751333333333333,0
"scenario_3_low_corr_tau_z_x2_same_sign","BTGQ_DUMB",4.0210027425853,0.01,2.32412015955382,0.505333333333333,0.200666666666667,0.778,0
"scenario_4_low_corr_tau_z_x2_opposite_sign","BTGQ_DUMB",0.00597567168547819,0.0486666666666667,29.9019607843137,0.495333333333333,0.468666666666667,0.498,0
"scenario_1_high_corr_tau_z","BTGQ_VALID",52.9558139142044,0.253333333333333,58.6713369555821,0.641333333333333,0.217333333333333,0.789333333333333,0
"scenario_2_low_corr_tau_z","BTGQ_VALID",57.6145414283492,0.0173333333333333,3.18679836156392,0.520666666666667,0.194,0.751333333333333,0
"scenario_3_low_corr_tau_z_x2_same_sign","BTGQ_VALID",35.4146574514103,0.0966666666666666,21.7601123309055,0.556,0.200666666666667,0.778,0
"scenario_4_low_corr_tau_z_x2_opposite_sign","BTGQ_VALID",48.6028869156053,0.206,126.127450980392,0.400666666666667,0.468666666666667,0.498,0
"scenario_1_high_corr_tau_z","CF-FD",68.0634639705549,0.437333333333333,100,0.733333333333333,0.217333333333333,0.789333333333333,30.3333333333333
"scenario_2_low_corr_tau_z","CF-FD",84.9081274407086,0.521333333333333,100,0.772666666666667,0.194,0.751333333333333,50.4666666666667
"scenario_3_low_corr_tau_z_x2_same_sign","CF-FD",78.6139434912307,0.443333333333333,100,0.729333333333333,0.200666666666667,0.778,13.6
"scenario_4_low_corr_tau_z_x2_opposite_sign","CF-FD",70.6072287271726,0.163333333333333,100,0.422,0.468666666666667,0.498,11.3333333333333
"scenario_1_high_corr_tau_z","CF-NP",69.7796215571581,0.284,64.6113909086608,0.656666666666667,0.217333333333333,0.789333333333333,0
"scenario_2_low_corr_tau_z","CF-NP",62.9681971532527,0.0426666666666667,7.79847351032347,0.533333333333333,0.194,0.751333333333333,0
"scenario_3_low_corr_tau_z_x2_same_sign","CF-NP",75.5747716288594,0.308666666666667,72.1753915304694,0.662,0.200666666666667,0.778,0
"scenario_4_low_corr_tau_z_x2_opposite_sign","CF-NP",61.926784226166,0.27,164.852941176471,0.368666666666667,0.468666666666667,0.498,0
"scenario_1_high_corr_tau_z","Debiased",50.2582427141102,0.02,3.89482458134425,0.524666666666667,0.217333333333333,0.789333333333333,7.66666666666667
"scenario_2_low_corr_tau_z","Debiased",60.267911299705,0.028,5.27250337992026,0.526,0.194,0.751333333333333,8.6
"scenario_3_low_corr_tau_z_x2_same_sign","Debiased",60.2419329800557,0.026,6.43357219339429,0.519333333333333,0.200666666666667,0.778,27
"scenario_4_low_corr_tau_z_x2_opposite_sign","Debiased",73.4688908503443,0.0486666666666667,29.6078431372549,0.479333333333333,0.468666666666667,0.498,25.1333333333333
