"method","efficiency","raw_imbalance","imbalance","delta_policy","scenario","replication","n_train","n_test","num_trees","beat_penalty","target_share"
"CF-FD",82.2686056455286,0.462,100,36.4,"scenario_1_high_corr_tau_z",1,2000,1000,500,10,0.5
"CF-NP",73.0551753715986,0.354,76.6233766233766,0,"scenario_1_high_corr_tau_z",1,2000,1000,500,10,0.5
"Debiased",58.6982162865435,0.018,3.8961038961039,6.6,"scenario_1_high_corr_tau_z",1,2000,1000,500,10,0.5
"BEAT",53.5963470277702,0.046,9.95670995670996,0,"scenario_1_high_corr_tau_z",1,2000,1000,500,10,0.5
"BTGQ",71.8500742469569,0.346,74.8917748917749,0,"scenario_1_high_corr_tau_z",1,2000,1000,500,10,0.5
"CF-FD",74.9794079084911,0.466,100,32,"scenario_1_high_corr_tau_z",2,2000,1000,500,10,0.5
"CF-NP",49.4962784303703,0.374,80.2575107296137,0,"scenario_1_high_corr_tau_z",2,2000,1000,500,10,0.5
"Debiased",52.3872892618697,0.038,8.15450643776825,6.4,"scenario_1_high_corr_tau_z",2,2000,1000,500,10,0.5
"BEAT",53.2890035700576,0.002,0.429184549356224,0,"scenario_1_high_corr_tau_z",2,2000,1000,500,10,0.5
"BTGQ",66.7111712513476,0.374,80.2575107296137,0,"scenario_1_high_corr_tau_z",2,2000,1000,500,10,0.5
"CF-FD",66.5370987334656,0.3,100,21,"scenario_1_high_corr_tau_z",3,2000,1000,500,10,0.5
"CF-NP",61.3982580612069,0.216,72,0,"scenario_1_high_corr_tau_z",3,2000,1000,500,10,0.5
"Debiased",52.689988406791,0,0,5.6,"scenario_1_high_corr_tau_z",3,2000,1000,500,10,0.5
"BEAT",53.920192336835,0.024,8.00000000000001,0,"scenario_1_high_corr_tau_z",3,2000,1000,500,10,0.5
"BTGQ",51.8846738394211,0.204,68,0,"scenario_1_high_corr_tau_z",3,2000,1000,500,10,0.5
"CF-FD",82.9002473202907,0.614,100,58.4,"scenario_2_low_corr_tau_z",1,2000,1000,500,10,0.5
"CF-NP",69.6703008929676,0.106,17.2638436482085,0,"scenario_2_low_corr_tau_z",1,2000,1000,500,10,0.5
"Debiased",76.9646173512275,0.03,4.88599348534202,7,"scenario_2_low_corr_tau_z",1,2000,1000,500,10,0.5
"BEAT",67.4166179000073,0.01,1.62866449511401,0,"scenario_2_low_corr_tau_z",1,2000,1000,500,10,0.5
"BTGQ",76.686148740645,0.106,17.2638436482085,0,"scenario_2_low_corr_tau_z",1,2000,1000,500,10,0.5
"CF-FD",64.878845818978,0.462,100,45.8,"scenario_2_low_corr_tau_z",2,2000,1000,500,10,0.5
"CF-NP",59.3860885390246,0.018,3.8961038961039,0,"scenario_2_low_corr_tau_z",2,2000,1000,500,10,0.5
"Debiased",56.8180676144722,0.00600000000000001,1.2987012987013,6.4,"scenario_2_low_corr_tau_z",2,2000,1000,500,10,0.5
"BEAT",56.5712707601535,0.01,2.16450216450217,0,"scenario_2_low_corr_tau_z",2,2000,1000,500,10,0.5
