"scenario","method","efficiency","raw_imbalance","imbalance","delta_policy"
"scenario_1_high_corr_tau_z","BEAT",53.6018476448876,0.024,6.12863150202206,0
"scenario_2_low_corr_tau_z","BEAT",62.1248152566905,0.0146666666666667,2.85169047384031,0
"scenario_3_low_corr_tau_z_x2_same_sign","BEAT",34.6367235106081,0.0153333333333333,3.64666213306132,0
"scenario_4_low_corr_tau_z_x2_opposite_sign","BEAT",47.4137868594386,0.0313333333333334,20.8757756702962,0
"scenario_1_high_corr_tau_z","BTGQ",63.4819731125752,0.308,74.3830952071295,0
"scenario_2_low_corr_tau_z","BTGQ",66.4808762021846,0.0426666666666667,7.26976606455434,0
"scenario_3_low_corr_tau_z_x2_same_sign","BTGQ",74.3691182114927,0.311333333333333,74.9715516264309,0
"scenario_4_low_corr_tau_z_x2_opposite_sign","BTGQ",69.0468486726005,0.226,131.858514392761,0
"scenario_1_high_corr_tau_z","CF-FD",74.5950374291617,0.409333333333333,100,29.8
"scenario_2_low_corr_tau_z","CF-FD",74.0148461570031,0.526666666666667,100,50.9333333333333
"scenario_3_low_corr_tau_z_x2_same_sign","CF-FD",75.4665035159014,0.43,100,12
"scenario_4_low_corr_tau_z_x2_opposite_sign","CF-FD",70.6657670674951,0.175333333333333,100,11.1333333333333
"scenario_1_high_corr_tau_z","CF-NP",61.3165706210586,0.314666666666667,76.2936291176634,0
"scenario_2_low_corr_tau_z","CF-NP",60.7946468960575,0.0466666666666667,8.11151690630518,0
"scenario_3_low_corr_tau_z_x2_same_sign","CF-NP",73.0625249594017,0.306,73.674430465828,0
"scenario_4_low_corr_tau_z_x2_opposite_sign","CF-NP",63.3787249761812,0.264666666666667,157.556199508254,0
"scenario_1_high_corr_tau_z","Debiased",54.5918313184014,0.0186666666666667,4.01687011129072,6.2
"scenario_2_low_corr_tau_z","Debiased",62.2834298924073,0.0186666666666667,3.38431625076577,7.53333333333333
"scenario_3_low_corr_tau_z_x2_same_sign","Debiased",62.8853272073761,0.03,7.46939816388984,27.1333333333333
"scenario_4_low_corr_tau_z_x2_opposite_sign","Debiased",74.1075935181042,0.0233333333333334,15.4295666281968,26.3333333333333
