"method","efficiency","raw_imbalance","imbalance","delta_policy","scenario","replication","n_train","n_test","num_trees","beat_penalty","target_share"
"CF-FD",41.1343028227643,0.469329664260717,100,36.4,"scenario_1_high_corr_tau_z",1,2000,1000,500,10,0.5
"CF-NP",36.5275876857993,0.359847700357774,76.67269464516,0,"scenario_1_high_corr_tau_z",1,2000,1000,500,10,0.5
"Debiased",29.3491081432718,0.0980415626594176,20.8897008063302,6.6,"scenario_1_high_corr_tau_z",1,2000,1000,500,10,0.5
"BEAT",26.7981735138851,0.120666724172168,25.7104405199362,0,"scenario_1_high_corr_tau_z",1,2000,1000,500,10,0.5
"CF-FD",37.4897039542455,0.470739214354903,100,32,"scenario_1_high_corr_tau_z",2,2000,1000,500,10,0.5
"CF-NP",24.7481392151852,0.397749841123759,84.4947327510905,0,"scenario_1_high_corr_tau_z",2,2000,1000,500,10,0.5
"Debiased",26.1936446309348,0.11747063640946,24.9545040708878,6.4,"scenario_1_high_corr_tau_z",2,2000,1000,500,10,0.5
"BEAT",26.6445017850288,0.0531275486986665,11.2859832107831,0,"scenario_1_high_corr_tau_z",2,2000,1000,500,10,0.5
"CF-FD",33.2685493667328,0.312172666310668,100,21,"scenario_1_high_corr_tau_z",3,2000,1000,500,10,0.5
"CF-NP",30.6991290306034,0.234477134788147,75.1113598635184,0,"scenario_1_high_corr_tau_z",3,2000,1000,500,10,0.5
"Debiased",26.3449942033955,0.10153033236861,32.5237739641078,5.6,"scenario_1_high_corr_tau_z",3,2000,1000,500,10,0.5
"BEAT",26.9600961684175,0.0890982121931071,28.5413240198417,0,"scenario_1_high_corr_tau_z",3,2000,1000,500,10,0.5
"CF-FD",41.4501236601454,0.638691913584564,100,58.4,"scenario_2_low_corr_tau_z",1,2000,1000,500,10,0.5
"CF-NP",34.8351504464838,0.120538879398206,18.872773685469,0,"scenario_2_low_corr_tau_z",1,2000,1000,500,10,0.5
"Debiased",38.4823086756137,0.0575701617064903,9.01376085746667,7,"scenario_2_low_corr_tau_z",1,2000,1000,500,10,0.5
"BEAT",33.7083089500037,0.0523034508408228,8.18915187876381,0,"scenario_2_low_corr_tau_z",1,2000,1000,500,10,0.5
"CF-FD",32.439422909489,0.477794374457192,100,45.8,"scenario_2_low_corr_tau_z",2,2000,1000,500,10,0.5
"CF-NP",29.6930442695123,0.102569257402966,21.4672383950715,0,"scenario_2_low_corr_tau_z",2,2000,1000,500,10,0.5
"Debiased",28.4090338072361,0.0989549371595521,20.7107790400362,6.4,"scenario_2_low_corr_tau_z",2,2000,1000,500,10,0.5
"BEAT",28.2856353800768,0.0671061280168427,14.0449807708766,0,"scenario_2_low_corr_tau_z",2,2000,1000,500,10,0.5
"CF-FD",37.1327226658703,0.51094935028731,100,48.6,"scenario_2_low_corr_tau_z",3,2000,1000,500,10,0.5
"CF-NP",26.6637756280902,0.0325660304469937,6.37363183428684,0,"scenario_2_low_corr_tau_z",3,2000,1000,500,10,0.5
"Debiased",26.5338023557611,0.0447874957967867,8.76554511158541,9.2,"scenario_2_low_corr_tau_z",3,2000,1000,500,10,0.5
