"scenario","method","efficiency","raw_imbalance","imbalance","delta_policy"
"scenario_1_high_corr_tau_z","BEAT",26.8009238224438,0.0876308283546472,21.8459159168537,0
"scenario_2_low_corr_tau_z","BEAT",31.0624076283452,0.0658121618841697,12.5016998914174,0
"scenario_3_low_corr_tau_z_x2_same_sign","BEAT",17.3183617553041,0.0668782249471324,16.8838861079127,0
"scenario_4_low_corr_tau_z_x2_opposite_sign","BEAT",23.7068934297193,0.111205985793256,57.6186459274901,0
"scenario_1_high_corr_tau_z","CF-FD",37.2975187145809,0.417413848308763,100,29.8
"scenario_2_low_corr_tau_z","CF-FD",37.0074230785016,0.542478546109689,100,50.9333333333333
"scenario_3_low_corr_tau_z_x2_same_sign","CF-FD",37.7332517579507,0.436712565768509,100,12
"scenario_4_low_corr_tau_z_x2_opposite_sign","CF-FD",35.3328835337476,0.203794345113415,100,11.1333333333333
"scenario_1_high_corr_tau_z","CF-NP",30.6582853105293,0.33069155875656,78.7595957532563,0
"scenario_2_low_corr_tau_z","CF-NP",30.3973234480287,0.0852247224160552,15.5712146382758,0
"scenario_3_low_corr_tau_z_x2_same_sign","CF-NP",36.5312624797009,0.310841749019118,73.5859096442548,0
"scenario_4_low_corr_tau_z_x2_opposite_sign","CF-NP",31.6893624880906,0.28451096637862,145.6913588716,0
"scenario_1_high_corr_tau_z","Debiased",27.2959156592007,0.105680843812496,26.1226596137753,6.2
"scenario_2_low_corr_tau_z","Debiased",31.1417149462037,0.067104198220943,12.8300283363628,7.53333333333333
"scenario_3_low_corr_tau_z_x2_same_sign","Debiased",31.442663603688,0.111387076314453,25.5445961166335,27.1333333333333
"scenario_4_low_corr_tau_z_x2_opposite_sign","Debiased",37.0537967590521,0.100320106074804,54.3173541579679,26.3333333333333
