"method","efficiency","raw_imbalance","imbalance","delta_policy","scenario","replication","n_train","n_test","num_trees","beat_penalty","target_share"
"CF-FD",82.2686056455286,0.469329664260717,100,36.4,"scenario_1_high_corr_tau_z",1,2000,1000,500,10,0.5
"CF-NP",73.0551753715986,0.359847700357774,76.67269464516,0,"scenario_1_high_corr_tau_z",1,2000,1000,500,10,0.5
"Debiased",58.6982162865435,0.0980415626594176,20.8897008063302,6.6,"scenario_1_high_corr_tau_z",1,2000,1000,500,10,0.5
"BEAT",53.5963470277702,0.120666724172168,25.7104405199362,0,"scenario_1_high_corr_tau_z",1,2000,1000,500,10,0.5
"CF-FD",74.9794079084911,0.470739214354903,100,32,"scenario_1_high_corr_tau_z",2,2000,1000,500,10,0.5
"CF-NP",49.4962784303703,0.397749841123759,84.4947327510905,0,"scenario_1_high_corr_tau_z",2,2000,1000,500,10,0.5
"Debiased",52.3872892618697,0.11747063640946,24.9545040708878,6.4,"scenario_1_high_corr_tau_z",2,2000,1000,500,10,0.5
"BEAT",53.2890035700576,0.0531275486986665,11.2859832107831,0,"scenario_1_high_corr_tau_z",2,2000,1000,500,10,0.5
"CF-FD",66.5370987334656,0.312172666310668,100,21,"scenario_1_high_corr_tau_z",3,2000,1000,500,10,0.5
"CF-NP",61.3982580612069,0.234477134788147,75.1113598635184,0,"scenario_1_high_corr_tau_z",3,2000,1000,500,10,0.5
"Debiased",52.689988406791,0.10153033236861,32.5237739641078,5.6,"scenario_1_high_corr_tau_z",3,2000,1000,500,10,0.5
"BEAT",53.920192336835,0.0890982121931071,28.5413240198417,0,"scenario_1_high_corr_tau_z",3,2000,1000,500,10,0.5
"CF-FD",82.9002473202907,0.638691913584564,100,58.4,"scenario_2_low_corr_tau_z",1,2000,1000,500,10,0.5
"CF-NP",69.6703008929676,0.120538879398206,18.872773685469,0,"scenario_2_low_corr_tau_z",1,2000,1000,500,10,0.5
"Debiased",76.9646173512275,0.0575701617064903,9.01376085746667,7,"scenario_2_low_corr_tau_z",1,2000,1000,500,10,0.5
"BEAT",67.4166179000073,0.0523034508408228,8.18915187876381,0,"scenario_2_low_corr_tau_z",1,2000,1000,500,10,0.5
"CF-FD",64.878845818978,0.477794374457192,100,45.8,"scenario_2_low_corr_tau_z",2,2000,1000,500,10,0.5
"CF-NP",59.3860885390246,0.102569257402966,21.4672383950715,0,"scenario_2_low_corr_tau_z",2,2000,1000,500,10,0.5
"Debiased",56.8180676144722,0.0989549371595521,20.7107790400362,6.4,"scenario_2_low_corr_tau_z",2,2000,1000,500,10,0.5
"BEAT",56.5712707601535,0.0671061280168427,14.0449807708766,0,"scenario_2_low_corr_tau_z",2,2000,1000,500,10,0.5
"CF-FD",74.2654453317406,0.51094935028731,100,48.6,"scenario_2_low_corr_tau_z",3,2000,1000,500,10,0.5
"CF-NP",53.3275512561803,0.0325660304469937,6.37363183428684,0,"scenario_2_low_corr_tau_z",3,2000,1000,500,10,0.5
"Debiased",53.0676047115223,0.0447874957967867,8.76554511158541,9.2,"scenario_2_low_corr_tau_z",3,2000,1000,500,10,0.5
"BEAT",62.3865571099106,0.0780269067948436,15.2709670246119,0,"scenario_2_low_corr_tau_z",3,2000,1000,500,10,0.5
"CF-FD",70.4423357721225,0.400521938998386,100,5.6,"scenario_3_low_corr_tau_z_x2_same_sign",1,2000,1000,500,10,0.5
"CF-NP",74.3676745000752,0.348944024949832,87.1223248899826,0,"scenario_3_low_corr_tau_z_x2_same_sign",1,2000,1000,500,10,0.5
"Debiased",76.5174732423989,0.119070975202389,29.7289520519546,26.4,"scenario_3_low_corr_tau_z_x2_same_sign",1,2000,1000,500,10,0.5
"BEAT",33.4711847468671,0.0801758622279575,20.0178453216468,0,"scenario_3_low_corr_tau_z_x2_same_sign",1,2000,1000,500,10,0.5
"CF-FD",76.1634447150662,0.549506822578761,100,24,"scenario_3_low_corr_tau_z_x2_same_sign",2,2000,1000,500,10,0.5
"CF-NP",75.2387417825775,0.296946444796413,54.0387184644739,0,"scenario_3_low_corr_tau_z_x2_same_sign",2,2000,1000,500,10,0.5
"Debiased",59.7052436310907,0.133988744256666,24.3834541722112,30.2,"scenario_3_low_corr_tau_z_x2_same_sign",2,2000,1000,500,10,0.5
"BEAT",46.9683755844095,0.029430319909529,5.35576970116885,0,"scenario_3_low_corr_tau_z_x2_same_sign",2,2000,1000,500,10,0.5
"CF-FD",79.7937300605155,0.360108935728379,100,6.4,"scenario_3_low_corr_tau_z_x2_same_sign",3,2000,1000,500,10,0.5
"CF-NP",69.5811585955524,0.286634777311108,79.5966855783079,0,"scenario_3_low_corr_tau_z_x2_same_sign",3,2000,1000,500,10,0.5
"Debiased",52.4332647486386,0.0811015094843047,22.5213821257347,24.8,"scenario_3_low_corr_tau_z_x2_same_sign",3,2000,1000,500,10,0.5
"BEAT",23.4706102005478,0.0910284927039107,25.2780433009225,0,"scenario_3_low_corr_tau_z_x2_same_sign",3,2000,1000,500,10,0.5
"CF-FD",74.0757511873793,0.155074769401504,100,16.8,"scenario_4_low_corr_tau_z_x2_opposite_sign",1,2000,1000,500,10,0.5
"CF-NP",65.2634060835916,0.294253604785512,189.749503366122,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",1,2000,1000,500,10,0.5
"Debiased",82.1762550099461,0.137740927725419,88.8222682883987,23,"scenario_4_low_corr_tau_z_x2_opposite_sign",1,2000,1000,500,10,0.5
"BEAT",49.153681538011,0.12595581893199,81.2226382267757,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",1,2000,1000,500,10,0.5
"CF-FD",59.3027684626685,0.243205921468008,100,5.2,"scenario_4_low_corr_tau_z_x2_opposite_sign",2,2000,1000,500,10,0.5
"CF-NP",51.1202213536311,0.260343465138096,107.046515794782,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",2,2000,1000,500,10,0.5
"Debiased",65.2031442964876,0.0423908540592246,17.4300254711524,27.2,"scenario_4_low_corr_tau_z_x2_opposite_sign",2,2000,1000,500,10,0.5
"BEAT",50.0305784871596,0.100093834126743,41.156002091795,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",2,2000,1000,500,10,0.5
"CF-FD",78.6187815524376,0.213102344470733,100,11.4,"scenario_4_low_corr_tau_z_x2_opposite_sign",3,2000,1000,500,10,0.5
"CF-NP",73.7525474913209,0.298935829212253,140.278057453896,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",3,2000,1000,500,10,0.5
"Debiased",74.9433812478789,0.120828536439768,56.6997687143525,28.8,"scenario_4_low_corr_tau_z_x2_opposite_sign",3,2000,1000,500,10,0.5
"BEAT",43.0571005531453,0.107568304321036,50.4772974638997,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",3,2000,1000,500,10,0.5
