"scenario","method","efficiency","raw_imbalance","imbalance","delta_policy"
"scenario_1_high_corr_tau_z","BEAT",53.6018476448876,0.0876308283546472,21.8459159168537,0
"scenario_2_low_corr_tau_z","BEAT",62.1248152566905,0.0658121618841697,12.5016998914174,0
"scenario_3_low_corr_tau_z_x2_same_sign","BEAT",34.6367235106081,0.0668782249471324,16.8838861079127,0
"scenario_4_low_corr_tau_z_x2_opposite_sign","BEAT",47.4137868594386,0.111205985793256,57.6186459274901,0
"scenario_1_high_corr_tau_z","CF-FD",74.5950374291617,0.417413848308763,100,29.8
"scenario_2_low_corr_tau_z","CF-FD",74.0148461570031,0.542478546109689,100,50.9333333333333
"scenario_3_low_corr_tau_z_x2_same_sign","CF-FD",75.4665035159014,0.436712565768509,100,12
"scenario_4_low_corr_tau_z_x2_opposite_sign","CF-FD",70.6657670674951,0.203794345113415,100,11.1333333333333
"scenario_1_high_corr_tau_z","CF-NP",61.3165706210586,0.33069155875656,78.7595957532563,0
"scenario_2_low_corr_tau_z","CF-NP",60.7946468960575,0.0852247224160552,15.5712146382758,0
"scenario_3_low_corr_tau_z_x2_same_sign","CF-NP",73.0625249594017,0.310841749019118,73.5859096442548,0
"scenario_4_low_corr_tau_z_x2_opposite_sign","CF-NP",63.3787249761812,0.28451096637862,145.6913588716,0
"scenario_1_high_corr_tau_z","Debiased",54.5918313184014,0.105680843812496,26.1226596137753,6.2
"scenario_2_low_corr_tau_z","Debiased",62.2834298924073,0.067104198220943,12.8300283363628,7.53333333333333
"scenario_3_low_corr_tau_z_x2_same_sign","Debiased",62.8853272073761,0.111387076314453,25.5445961166335,27.1333333333333
"scenario_4_low_corr_tau_z_x2_opposite_sign","Debiased",74.1075935181042,0.100320106074804,54.3173541579679,26.3333333333333
