"method","efficiency","raw_imbalance","imbalance","delta_policy","scenario","replication","n_train","n_test","num_trees","beat_penalty","target_share"
"CF-FD",-1149.29659826349,0.469329664260717,100,36.4,"scenario_1_high_corr_tau_z",1,2000,1000,500,10,0.5
"CF-NP",-3694.49202335892,0.359847700357774,76.67269464516,0,"scenario_1_high_corr_tau_z",1,2000,1000,500,10,0.5
"Debiased",-616.97037225907,0.0980415626594176,20.8897008063302,6.6,"scenario_1_high_corr_tau_z",1,2000,1000,500,10,0.5
"BEAT",6872.13343928571,0.120666724172168,25.7104405199362,0,"scenario_1_high_corr_tau_z",1,2000,1000,500,10,0.5
"CF-FD",1692.50341796069,0.470739214354903,100,32,"scenario_1_high_corr_tau_z",2,2000,1000,500,10,0.5
"CF-NP",188.554343725061,0.397749841123759,84.4947327510905,0,"scenario_1_high_corr_tau_z",2,2000,1000,500,10,0.5
"Debiased",530.218920833624,0.11747063640946,24.9545040708878,6.4,"scenario_1_high_corr_tau_z",2,2000,1000,500,10,0.5
"BEAT",1051.55899376449,0.0531275486986665,11.2859832107831,0,"scenario_1_high_corr_tau_z",2,2000,1000,500,10,0.5
"CF-FD",-6485.21984709348,0.312172666310668,100,21,"scenario_1_high_corr_tau_z",3,2000,1000,500,10,0.5
"CF-NP",-8468.81077856508,0.234477134788147,75.1113598635184,0,"scenario_1_high_corr_tau_z",3,2000,1000,500,10,0.5
"Debiased",4743.12377212791,0.10153033236861,32.5237739641078,5.6,"scenario_1_high_corr_tau_z",3,2000,1000,500,10,0.5
"BEAT",-10206.171522045,0.0890982121931071,28.5413240198417,0,"scenario_1_high_corr_tau_z",3,2000,1000,500,10,0.5
"CF-FD",-2114.06551955836,0.638691913584564,100,58.4,"scenario_2_low_corr_tau_z",1,2000,1000,500,10,0.5
"CF-NP",2452.10218384778,0.120538879398206,18.872773685469,0,"scenario_2_low_corr_tau_z",1,2000,1000,500,10,0.5
"Debiased",-782.415088796178,0.0575701617064903,9.01376085746667,7,"scenario_2_low_corr_tau_z",1,2000,1000,500,10,0.5
"BEAT",-973.280456204132,0.0523034508408228,8.18915187876381,0,"scenario_2_low_corr_tau_z",1,2000,1000,500,10,0.5
"CF-FD",361.411462769446,0.477794374457192,100,45.8,"scenario_2_low_corr_tau_z",2,2000,1000,500,10,0.5
"CF-NP",791.772034320699,0.102569257402966,21.4672383950715,0,"scenario_2_low_corr_tau_z",2,2000,1000,500,10,0.5
"Debiased",1514.34665911319,0.0989549371595521,20.7107790400362,6.4,"scenario_2_low_corr_tau_z",2,2000,1000,500,10,0.5
"BEAT",1013.42287042259,0.0671061280168427,14.0449807708766,0,"scenario_2_low_corr_tau_z",2,2000,1000,500,10,0.5
"CF-FD",1978.14256329775,0.51094935028731,100,48.6,"scenario_2_low_corr_tau_z",3,2000,1000,500,10,0.5
"CF-NP",360.424506200413,0.0325660304469937,6.37363183428684,0,"scenario_2_low_corr_tau_z",3,2000,1000,500,10,0.5
"Debiased",543.789785400322,0.0447874957967867,8.76554511158541,9.2,"scenario_2_low_corr_tau_z",3,2000,1000,500,10,0.5
"BEAT",55859.9702740598,0.0780269067948436,15.2709670246119,0,"scenario_2_low_corr_tau_z",3,2000,1000,500,10,0.5
"CF-FD",1372.26185896868,0.400521938998386,100,5.6,"scenario_3_low_corr_tau_z_x2_same_sign",1,2000,1000,500,10,0.5
"CF-NP",13704.7480092183,0.348944024949832,87.1223248899826,0,"scenario_3_low_corr_tau_z_x2_same_sign",1,2000,1000,500,10,0.5
"Debiased",-457.985145353327,0.119070975202389,29.7289520519546,26.4,"scenario_3_low_corr_tau_z_x2_same_sign",1,2000,1000,500,10,0.5
"BEAT",-358.439811974273,0.0801758622279575,20.0178453216468,0,"scenario_3_low_corr_tau_z_x2_same_sign",1,2000,1000,500,10,0.5
"CF-FD",-1414.32793931233,0.549506822578761,100,24,"scenario_3_low_corr_tau_z_x2_same_sign",2,2000,1000,500,10,0.5
"CF-NP",-680.438863174868,0.296946444796413,54.0387184644739,0,"scenario_3_low_corr_tau_z_x2_same_sign",2,2000,1000,500,10,0.5
"Debiased",-552.14907106839,0.133988744256666,24.3834541722112,30.2,"scenario_3_low_corr_tau_z_x2_same_sign",2,2000,1000,500,10,0.5
"BEAT",-319.27953570608,0.029430319909529,5.35576970116885,0,"scenario_3_low_corr_tau_z_x2_same_sign",2,2000,1000,500,10,0.5
"CF-FD",-1341.64729514352,0.360108935728379,100,6.4,"scenario_3_low_corr_tau_z_x2_same_sign",3,2000,1000,500,10,0.5
"CF-NP",2109.88670435614,0.286634777311108,79.5966855783079,0,"scenario_3_low_corr_tau_z_x2_same_sign",3,2000,1000,500,10,0.5
"Debiased",1304.47185761155,0.0811015094843047,22.5213821257347,24.8,"scenario_3_low_corr_tau_z_x2_same_sign",3,2000,1000,500,10,0.5
"BEAT",237.633300598263,0.0910284927039107,25.2780433009225,0,"scenario_3_low_corr_tau_z_x2_same_sign",3,2000,1000,500,10,0.5
"CF-FD",1342.34672416913,0.155074769401504,100,16.8,"scenario_4_low_corr_tau_z_x2_opposite_sign",1,2000,1000,500,10,0.5
"CF-NP",459.151532557756,0.294253604785512,189.749503366122,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",1,2000,1000,500,10,0.5
"Debiased",6887.02537105787,0.137740927725419,88.8222682883987,23,"scenario_4_low_corr_tau_z_x2_opposite_sign",1,2000,1000,500,10,0.5
"BEAT",-22550.8594155297,0.12595581893199,81.2226382267757,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",1,2000,1000,500,10,0.5
"CF-FD",-847.415875025351,0.243205921468008,100,5.2,"scenario_4_low_corr_tau_z_x2_opposite_sign",2,2000,1000,500,10,0.5
"CF-NP",1105.3818947661,0.260343465138096,107.046515794782,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",2,2000,1000,500,10,0.5
"Debiased",-3687.5857639198,0.0423908540592246,17.4300254711524,27.2,"scenario_4_low_corr_tau_z_x2_opposite_sign",2,2000,1000,500,10,0.5
"BEAT",-686.595569584304,0.100093834126743,41.156002091795,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",2,2000,1000,500,10,0.5
"CF-FD",-17794.434346561,0.213102344470733,100,11.4,"scenario_4_low_corr_tau_z_x2_opposite_sign",3,2000,1000,500,10,0.5
"CF-NP",-5192.08533225112,0.298935829212253,140.278057453896,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",3,2000,1000,500,10,0.5
"Debiased",1861.6560833679,0.120828536439768,56.6997687143525,28.8,"scenario_4_low_corr_tau_z_x2_opposite_sign",3,2000,1000,500,10,0.5
"BEAT",446.567292775389,0.107568304321036,50.4772974638997,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",3,2000,1000,500,10,0.5
