"scenario","method","efficiency","raw_imbalance","imbalance","delta_policy"
"scenario_1_high_corr_tau_z","BEAT",-760.826362998252,0.0876308283546472,21.8459159168537,0
"scenario_2_low_corr_tau_z","BEAT",18633.3708960928,0.0658121618841697,12.5016998914174,0
"scenario_3_low_corr_tau_z_x2_same_sign","BEAT",-146.695349027363,0.0668782249471324,16.8838861079127,0
"scenario_4_low_corr_tau_z_x2_opposite_sign","BEAT",-7596.96256411287,0.111205985793256,57.6186459274901,0
"scenario_1_high_corr_tau_z","CF-FD",-1980.67100913209,0.417413848308763,100,29.8
"scenario_2_low_corr_tau_z","CF-FD",75.1628355029486,0.542478546109689,100,50.9333333333333
"scenario_3_low_corr_tau_z_x2_same_sign","CF-FD",-461.237791829057,0.436712565768509,100,12
"scenario_4_low_corr_tau_z_x2_opposite_sign","CF-FD",-5766.50116580575,0.203794345113415,100,11.1333333333333
"scenario_1_high_corr_tau_z","CF-NP",-3991.58281939965,0.33069155875656,78.7595957532563,0
"scenario_2_low_corr_tau_z","CF-NP",1201.43290812296,0.0852247224160552,15.5712146382758,0
"scenario_3_low_corr_tau_z_x2_same_sign","CF-NP",5044.7319501332,0.310841749019118,73.5859096442548,0
"scenario_4_low_corr_tau_z_x2_opposite_sign","CF-NP",-1209.18396830909,0.28451096637862,145.6913588716,0
"scenario_1_high_corr_tau_z","Debiased",1552.12410690082,0.105680843812496,26.1226596137753,6.2
"scenario_2_low_corr_tau_z","Debiased",425.240451905778,0.067104198220943,12.8300283363628,7.53333333333333
"scenario_3_low_corr_tau_z_x2_same_sign","Debiased",98.1125470632783,0.111387076314453,25.5445961166335,27.1333333333333
"scenario_4_low_corr_tau_z_x2_opposite_sign","Debiased",1687.03189683532,0.100320106074804,54.3173541579679,26.3333333333333
